iter	Passed	Remaining
0	42	42093
1	84	42136
2	129	42953
3	171	42644
4	213	42403
5	262	43480
6	299	42463
7	343	42588
8	390	43052
9	431	42702
10	472	42457
11	515	42406
12	561	42639
13	607	42792
14	647	42508
15	694	42691
16	736	42600
17	781	42638
18	834	43073
19	879	43104
20	930	43365
21	979	43533
22	1021	43389
23	1065	43335
24	1110	43293
25	1150	43111
26	1193	43008
27	1233	42822
28	1278	42808
29	1317	42591
30	1367	42731
31	1408	42620
32	1451	42538
33	1493	42430
34	1537	42404
35	1581	42342
36	1625	42295
37	1665	42153
38	1704	42008
39	1747	41948
40	1787	41800
41	1833	41813
42	1876	41765
43	1916	41631
44	1959	41589
45	2002	41529
46	2048	41545
47	2097	41608
48	2135	41447
49	2178	41393
50	2217	41259
51	2260	41212
52	2305	41189
53	2345	41091
54	2387	41028
55	2429	40949
56	2471	40896
57	2510	40781
58	2554	40735
59	2599	40729
60	2643	40699
61	2689	40688
62	2730	40606
63	2772	40542
64	2809	40409
65	2853	40377
66	2893	40297
67	2939	40291
68	2976	40166
69	3021	40142
70	3064	40093
71	3105	40032
72	3145	39944
73	3185	39855
74	3224	39769
75	3265	39705
76	3303	39596
77	3348	39585
78	3392	39553
79	3432	39479
80	3475	39429
81	3519	39397
82	3563	39370
83	3607	39340
84	3651	39310
85	3701	39343
86	3750	39361
87	3796	39348
88	3843	39340
89	3882	39253
90	3922	39180
91	3965	39138
92	4009	39101
93	4052	39061
94	4100	39060
95	4142	39006
96	4188	38994
97	4233	38968
98	4273	38893
99	4316	38848
100	4360	38812
101	4403	38768
102	4445	38717
103	4494	38725
104	4540	38702
105	4584	38665
106	4625	38605
107	4672	38593
108	4713	38525
109	4755	38474
110	4797	38420
111	4840	38381
112	4881	38319
113	4922	38257
114	4961	38178
115	5013	38205
116	5056	38159
117	5102	38138
118	5146	38098
119	5188	38050
120	5229	37986
121	5273	37954
122	5317	37912
123	5354	37826
124	5392	37746
125	5435	37705
126	5479	37667
127	5520	37609
128	5566	37585
129	5606	37523
130	5647	37464
131	5690	37420
132	5731	37363
133	5770	37290
134	5815	37263
135	5855	37198
136	5901	37174
137	5945	37140
138	5991	37114
139	6038	37091
140	6085	37071
141	6126	37019
142	6165	36950
143	6201	36864
144	6257	36895
145	6293	36813
146	6338	36782
147	6383	36747
148	6424	36694
149	6468	36654
150	6509	36598
151	6549	36538
152	6589	36479
153	6629	36420
154	6674	36384
155	6714	36326
156	6758	36289
